"Index","Product","Category","Sub Category","Industry","Status","Action"
"2001","Additive WD 5187 M","Wetting & Dispersing Agent","Dispersing Agent Specially For Pigment Paste","Printing Inks, Paint & Coating,","ACTIVE",""
"1023","Additive DF 5 TM 94","Defoamers","Block Polymer Surfactant - Defoamer","Construction Chemicals, Lubricating Oil / Oil Emulsions,","ACTIVE",""
"2006","Additive WD 5760 NA","Wetting & Dispersing Agent","Sodium Salt homo-polymer Dispersing Agent","Paint & Coating,","ACTIVE",""
"1003","Additive DF 5382M","Defoamers","Mineral Oil & Wax Based Defoamer","Printing Inks, Paint & Coating, Starch / Adhesive / Corrugation,","ACTIVE",""
"1005","Additive DF 5913","Defoamers","Mineral Oil & Wax Based Defoamer","Printing Inks, Pulp & Paper, Paint & Coating, Starch / Adhesive / Corrugation,","ACTIVE",""
"6002","Additive LVL 5916","Surface Property Enhancer","Silicone Based Leveling Agent","Printing Inks, Paint & Coating,","ACTIVE",""
"1006","Add-Eco DF 5505-53","Defoamers","Economy Mineral Oil Based Defoamer","Printing Inks, Pulp & Paper, Paint & Coating, AGRO, Lubricating Oil / Oil Emulsions,","ACTIVE",""
"4002","Additive PUT 5946","Thickener & Anti-Settling Agents","Polyurethane Thickener","Printing Inks, Paint & Coating, Starch / Adhesive / Corrugation,","ACTIVE",""
"1015","Add-Eco DF 5523 SPL","Defoamers","Economy Silicone Defoamer","Pulp & Paper, AGRO, Household Products, ETP Additives, Textile,","ACTIVE",""
"6001","Additive LVL 5982","Surface Property Enhancer","100% Silicone Based Leveling Agent","Printing Inks, Paint & Coating,","ACTIVE",""
"5006","Additive WR 5970","Specialty & Tailor Made Additives","Silicone Based Water Repellent","Printing Inks, Paint & Coating, Construction Chemicals,","ACTIVE",""
"5010","Additive AS 4188","Specialty & Tailor Made Additives","Anti-Skinning Agent","Printing Inks, Paint & Coating,","ACTIVE",""
"3004","Additive EM 3387","Emulsifiers","Biodegradable General Purpose Emulsifier","AGRO, Construction Chemicals,","ACTIVE",""
"1008","Additive DF 5379 SPL","Defoamers","100% Special Silicone Defoamer","Pulp & Paper, Paint & Coating, Construction Chemicals,","ACTIVE",""
"5011","Additive DG 5901","Specialty & Tailor Made Additives","Eco - Friendly Degreaser","Household Products,","ACTIVE",""
"6004","Additive MS 5799","Surface Property Enhancer","Mar-Scratch Resistance Additive","Printing Inks, Paint & Coating,","ACTIVE",""
"1021","Additive DF 4194 - S","Defoamers","Silicone Based Epoxy Air Releasing Agent","Paint & Coating, Construction Chemicals,","ACTIVE",""
"3003","Additive EM 3306","Emulsifiers","Low Foaming Emulsifier Cum Wetting Agent","Printing Inks, Paint & Coating,","ACTIVE",""
"1019","Additive DF 4122 - S","Defoamers","Non Aqueous Silicone Defoamer","Printing Inks, Paint & Coating,","ACTIVE",""
"1016","Add-Eco DF 5618","Defoamers","Economy Silicone Defoamer","ETP Additives, Textile,","ACTIVE",""
"1022","Additive DF 5274","Defoamers","Silicone Free, Mineral Oil Free Defoamer","Construction Chemicals,","ACTIVE",""
"2002","Additive WD 5187","Wetting & Dispersing Agent","Surfactant - Dispersing Agent","Printing Inks, Paint & Coating,","ACTIVE",""
"1010","Additive DF 4 TM 8","Defoamers","100% Silicone Defoamer","Lubricating Oil / Oil Emulsions,","ACTIVE",""
"5008","Add Eco ADT 5589","Specialty & Tailor Made Additives","Tack & Viscosity Improver","Starch / Adhesive / Corrugation,","ACTIVE",""
"5002","Add Eco FT 5592","Specialty & Tailor Made Additives","Economy Flow & Leveling Polymer","Printing Inks, Paint & Coating,","ACTIVE",""
"4006","Additive AST 5373 HE","Thickener & Anti-Settling Agents","Alkali Swellable Acrylic Thickener","Printing Inks, Paint & Coating, AGRO, Construction Chemicals,","ACTIVE",""
"4005","Additive AST 5373","Thickener & Anti-Settling Agents","Alkali Swellable Acrylic Thickener","Printing Inks, Paint & Coating, AGRO, Construction Chemicals,","ACTIVE",""
"4004","Additive AST 5121 HE","Thickener & Anti-Settling Agents","Alkali Swellable Acrylic Thickener","Printing Inks, Paint & Coating, AGRO, Construction Chemicals,","ACTIVE",""
"4003","Additive AST 5121","Thickener & Anti-Settling Agents","Alkali Swellable Acrylic Thickener","Printing Inks, Paint & Coating, AGRO, Construction Chemicals,","ACTIVE",""
"4011","Additive SP 4239","Thickener & Anti-Settling Agents","Suspending Agent Cum Anti Settling Agent","Paint & Coating,","ACTIVE",""
"1020","Additive DF 4194","Defoamers","Epoxy Air Release Agent","Paint & Coating, Construction Chemicals,","ACTIVE",""
"5013","Additive WT 5811","Specialty & Tailor Made Additives","Effluent Decolorize / Flocculant","ETP Additives, Textile,","ACTIVE",""
"5012","Additive WT 5802","Specialty & Tailor Made Additives","Eco Friendly Flocculent / Coagulant","ETP Additives, Textile,","ACTIVE",""
"5009","Special Polymer SP","Specialty & Tailor Made Additives","Sheen Improver","Printing Inks, Paint & Coating,","ACTIVE",""
"6005","Additive WA 5 TM 115","Surface Property Enhancer","Silicone Based Wetting Agent","Printing Inks, Paint & Coating, AGRO,","ACTIVE",""
"5005","Add-Eco WR 5624","Specialty & Tailor Made Additives","Acrylic & Silicone Hybrid Water Repellent","Paint & Coating, Construction Chemicals,","ACTIVE",""
"4001","Additive AST 5826","Thickener & Anti-Settling Agents","Anti-settling Agent for Aqueous Systems","Printing Inks, Paint & Coating,","ACTIVE",""
"5001","Additive BOA 5202","Specialty & Tailor Made Additives","Blend Of Additives","Printing Inks, Paint & Coating,","ACTIVE",""
"6006","Additive PE 5166","Surface Property Enhancer","Polyethylene Wax Emulsion","Printing Inks, Paint & Coating, Construction Chemicals, Textile,","ACTIVE",""
"4007","Additive AST 5481","Thickener & Anti-Settling Agents","Synthetic Thickener","Textile,","ACTIVE",""
"4009","Additive AST 5472","Thickener & Anti-Settling Agents","General Purpose Powder Thickener","AGRO, Household Products,","ACTIVE",""
"4008","Additive AST 5748","Thickener & Anti-Settling Agents","Cellulose Derivative Thickener For Paints & Inks","Printing Inks, Paint & Coating,","ACTIVE",""
"2007","Additive WD 5760 AM","Wetting & Dispersing Agent","Ammonium Salt homo-polymer Dispersing Agent","Paint & Coating,","ACTIVE",""
"1014","Add-Eco DF 5514","Defoamers","10% Silicone Defoamer","AGRO, Construction Chemicals, ETP Additives, Textile,","ACTIVE",""
"1013","Add-Eco DF 5517","Defoamers","20% Silicone Defoamer","Printing Inks, Pulp & Paper, Paint & Coating, AGRO, Textile,","ACTIVE",""
"1011","Additive DF 5724","Defoamers","60% Silicone Defoamer","Printing Inks, Paint & Coating, Starch / Adhesive / Corrugation, AGRO, Construction Chemicals, Lubricating Oil / Oil Emulsions,","ACTIVE",""
"2005","Additive WD 5235","Wetting & Dispersing Agent","Wetting & Dispersing Agent","Printing Inks, Paint & Coating, AGRO, Construction Chemicals,","ACTIVE",""
"2008","Additive WA 5160","Wetting & Dispersing Agent","Non-ionic Wetting","Printing Inks, Paint & Coating, AGRO, Construction Chemicals,","ACTIVE",""
"1017","Additive DF 5154","Defoamers","Powder Defoamer","Starch / Adhesive / Corrugation, AGRO, Construction Chemicals, Textile,","ACTIVE",""
"4020","Additive 7029","Thickener & Anti-Settling Agents","Powder Thickener For Liquid Soap","Household Products,","ACTIVE",""
"4018","Additive 7020HE","Thickener & Anti-Settling Agents","Acid Slurry Thickener","Household Products,","ACTIVE",""
"4017","Additive 7020","Thickener & Anti-Settling Agents","LABSA (Acid Slurry) Thickener","Household Products,","ACTIVE",""
"4019","Additive 7014","Thickener & Anti-Settling Agents","Acid Thickener","Household Products,","ACTIVE",""
"4021","Additive 7011","Thickener & Anti-Settling Agents","SLES ( Liq Soap Thickener )","Household Products,","ACTIVE",""
"4015","Additive 7002 HE","Thickener & Anti-Settling Agents","Thickener For White Phenyl","Household Products,","ACTIVE",""
"1009","Additive DF 5379","Defoamers","100% Silicone Defoamer","Printing Inks, Paint & Coating, AGRO, Lubricating Oil / Oil Emulsions,","ACTIVE",""
"4016","Additive AST 7002","Thickener & Anti-Settling Agents","Thickener For White Phenyl","Household Products,","ACTIVE",""
"1012","Additive DF 5151","Defoamers","30% Silicone Defoamer","Printing Inks, Pulp & Paper, Paint & Coating, AGRO,","ACTIVE",""
"1024","Additive 5151 P&P","Defoamers","30% Silicone Defoamer For Pulp & Paper Industry","Pulp & Paper,","ACTIVE",""
"2014","Add-Eco WD 4512","Wetting & Dispersing Agent","Economy Dispersing Agent","Paint & Coating,","ACTIVE",""
"1004","Additive DF 5382","Defoamers","Mineral Oil & Wax Based Defoamer","Printing Inks, Pulp & Paper, Paint & Coating, Starch / Adhesive / Corrugation, AGRO, Lubricating Oil / Oil Emulsions,","ACTIVE",""
"4014","Additive AST 4260 PS","Thickener & Anti-Settling Agents","Thixotropic Agent-Paste For Non Aqueous System","Printing Inks, Paint & Coating,","ACTIVE",""
"4013","Additive AST 4260 PW","Thickener & Anti-Settling Agents","Powder Thixotropic Agent","Printing Inks, Paint & Coating, Construction Chemicals,","ACTIVE",""
"1002","Additive DF 5427","Defoamers","100% Mineral Oil Based Defoamer","Printing Inks, Pulp & Paper, Paint & Coating, Construction Chemicals,","ACTIVE",""
"2015","Additive WE 4209","Wetting & Dispersing Agent","Epoxy Dispersing Agent","Printing Inks, Paint & Coating, Construction Chemicals,","ACTIVE",""
"1001","Additive DF 5118","Defoamers","100% Mineral Oil Based Defoamer","Printing Inks, Pulp & Paper, Paint & Coating, Construction Chemicals,","ACTIVE",""
"2012","Additive WD 4191","Wetting & Dispersing Agent","Dispersing Agent Liquid Ink","Printing Inks, Paint & Coating,","ACTIVE",""
"2009","Additive WD 4137","Wetting & Dispersing Agent","Special Carbon Black Dispersing Agent","Printing Inks, Paint & Coating, Construction Chemicals,","ACTIVE",""
"5004","Additive SF 4410","Specialty & Tailor Made Additives","Aqua Add","Paint & Coating,","ACTIVE",""
"1018","Additive DF 4122","Defoamers","Mineral Oil Based Defoamer","Printing Inks, Paint & Coating,","ACTIVE",""
"4012","Additive AST 4404","Thickener & Anti-Settling Agents","Powder Rheology Modifier Non Aqueous System","Printing Inks, Paint & Coating, Lubricating Oil / Oil Emulsions,","ACTIVE",""
"4010","Additive AST 4401","Thickener & Anti-Settling Agents","Anti- Settling Agent For Alkyd Paints","Printing Inks, Paint & Coating, Construction Chemicals,","ACTIVE",""
"2011","Additive WD 4107 UI","Wetting & Dispersing Agent","Dispersing Agent For Paste Inks","Printing Inks,","ACTIVE",""
"2010","Additive WD 4107","Wetting & Dispersing Agent","Non Aqueous Universal Dispersing Agent","Printing Inks, Paint & Coating,","ACTIVE",""
"5003","Additive SF 4398","Specialty & Tailor Made Additives","Aqua- Mix - Water Addition Additive Emulsifier Free","Paint & Coating,","ACTIVE",""
"6007","Additive EM 3333","Surface Property Enhancer","Wetting Agent Cum Dispersing Agent","Printing Inks, Paint & Coating, AGRO, Construction Chemicals,","ACTIVE",""
"3007","Additive EM 3330","Emulsifiers","Non-Ionic Emulsifier","AGRO,","ACTIVE",""
"3006","Additive EM 3327","Emulsifiers","Biodegradable Emulsifier","Lubricating Oil / Oil Emulsions,","ACTIVE",""
"3005","Additive EM 3324","Emulsifiers","Glycol Based Emulsifier","Lubricating Oil / Oil Emulsions,","ACTIVE",""
"3009","Additive EM 3267","Emulsifiers","Emulsifier Cum Dispersing Agent","AGRO, Textile,","ACTIVE",""
"3008","Additive EM 3249","Emulsifiers","Anionic Emulsifier","AGRO,","ACTIVE",""
"3002","Additive EM 3246","Emulsifiers","Wetting Agent Cum Emulsifier","AGRO, Textile,","ACTIVE",""
"3001","Additive EM 3420","Emulsifiers","Non Foaming Emulsifier","AGRO,","ACTIVE",""
